hashtag-user,Vertices,Edges,Components,Largest component size,Degree Assortativity,Clustering Coefficient,Diameter,Undirected Diameter,Reciprocity,% of vertices in the largest component,Global degree centralization,Largest component degree centralization,Global closeness centralization,Largest component closeness centralization,Global betweenness centralization,Largest component betweenness centralization
anime,1605,1290,443,646,-0.13,0.0,4.0,16.0,0.0,0.4,0.07,0.17,NA,0.17,0.09,0.57
asmr,191,103,92,6,NA,0.0,1.0,2.0,0.0,0.03,0.02,1.0,NA,1.0,0.0,1.0
biden2024,188,139,50,63,-0.18,0.0,2.0,11.0,0.0,0.34,0.08,0.23,0.69,0.25,0.08,0.69
blacklivesmatter,388,271,119,64,-0.04,0.0,2.0,8.0,0.0,0.16,0.07,0.41,NA,0.44,0.02,0.84
booktok,3540,2701,1119,844,-0.06,0.0,4.0,24.0,0.0,0.24,0.02,0.09,NA,0.14,0.03,0.52
challenge,485,309,191,35,-0.08,0.01,2.0,10.0,0.0,0.07,0.05,0.13,NA,0.23,0.0,0.61
climatechange,86,45,43,4,0.48,0.0,1.0,3.0,0.0,0.05,0.01,0.33,NA,0.42,0.0,0.44
comedy,4608,3633,1135,1838,-0.04,0.0,2.0,19.0,0.0,0.4,0.01,0.03,NA,0.17,0.04,0.25
conspiracy,365,218,150,11,-0.15,0.0,2.0,4.0,0.0,0.03,0.02,0.88,NA,0.88,0.0,0.96
election,334,208,131,11,-0.16,0.0,1.0,6.0,0.0,0.03,0.02,0.39,NA,0.42,0.0,0.66
football,935,649,321,73,-0.1,0.0,2.0,13.0,0.0,0.08,0.03,0.27,NA,0.18,0.0,0.51
gaza,801,543,269,109,-0.08,0.0,2.0,11.0,0.0,0.14,0.04,0.29,NA,0.3,0.01,0.67
gym,742,468,297,74,-0.02,0.0,2.0,9.0,0.0,0.1,0.05,0.48,NA,0.44,0.01,0.89
israel,594,419,183,141,-0.04,0.0,2.0,22.0,0.0,0.24,0.02,0.07,NA,0.13,0.03,0.57
jazz,32,16,16,2,NA,NA,1.0,1.0,0.0,0.06,NA,NA,NA,NA,NA,NA
kpop,906,716,236,344,-0.23,0.0,3.0,13.0,0.0,0.38,0.26,0.69,NA,0.5,0.14,0.96
learnontiktok,464,398,131,79,-0.11,0.06,6.0,9.0,0.01,0.17,0.08,0.15,NA,0.34,0.02,0.59
lgbt,1685,1170,566,365,-0.07,0.0,2.0,14.0,0.0,0.22,0.02,0.1,NA,0.22,0.03,0.68
maga,644,619,106,414,-0.14,0.0,3.0,12.0,0.0,0.64,0.1,0.16,NA,0.25,0.15,0.36
makeup,915,615,345,68,-0.13,0.0,2.0,5.0,0.0,0.07,0.07,1.0,NA,1.0,0.01,1.0
minecraft,151,94,66,14,-0.14,0.0,1.0,3.0,0.0,0.09,0.08,1.0,NA,1.0,0.01,1.0
movie,583,403,199,71,-0.16,0.01,3.0,12.0,0.0,0.12,0.05,0.26,NA,0.26,0.01,0.57
news,784,569,255,73,-0.07,0.0,2.0,6.0,0.0,0.09,0.08,0.9,NA,0.79,0.01,0.83
palestine,1236,822,434,144,-0.09,0.0,1.0,14.0,0.0,0.12,0.03,0.22,NA,0.24,0.01,0.7
plantsoftiktok,96,67,58,8,0.42,0.0,1.0,6.0,0.0,0.08,0.02,0.24,NA,0.28,0.0,0.44
science,411,233,182,11,-0.08,0.0,1.0,5.0,0.0,0.03,0.01,0.51,NA,0.5,0.0,0.74
storytime,2036,1327,762,173,-0.09,0.0,2.0,7.0,0.0,0.08,0.07,0.89,NA,0.81,0.01,0.99
tiktoknews,120,74,49,8,-0.16,0.0,1.0,2.0,0.0,0.07,0.05,1.0,NA,1.0,0.0,1.0
trump2024,768,585,202,272,-0.09,0.0,2.0,14.0,0.0,0.35,0.04,0.1,NA,0.21,0.06,0.46
watermelon,290,180,119,17,-0.04,0.0,1.0,6.0,0.0,0.06,0.02,0.29,NA,0.37,0.0,0.68
