hashtag-user,Vertices,Edges,Components,Largest component size,Degree Assortativity,Clustering Coefficient,Diameter,Undirected Diameter,% of vertices in the largest component,Global degree centralization,Largest component degree centralization,Global closeness centralization,Largest component closeness centralization,Global betweenness centralization,Largest component betweenness centralization
anime,1605,8732,1109,425,0.9,0.97,8,8,0.26,0.08,0.22,NA,0.31,0.03,0.5
asmr,191,0,191,1,NA,NA,0,0,0.01,NA,NA,NA,NA,NA,NA
biden2024,188,42,165,15,0.16,0.7,4,4,0.08,0.04,0.34,NA,0.5,0.0,0.67
blacklivesmatter,388,62,357,18,0.22,0.71,4,4,0.05,0.04,0.66,NA,0.74,0.0,0.72
booktok,3540,7842,2611,456,0.89,0.95,10,10,0.13,0.03,0.21,NA,0.23,0.0,0.18
challenge,485,52,450,14,0.47,0.69,5,5,0.03,0.01,0.27,NA,0.34,0.0,0.4
climatechange,86,1,85,2,NA,NA,1,1,0.02,NA,NA,NA,NA,NA,NA
comedy,4608,3343,3781,698,0.09,0.53,9,9,0.15,0.02,0.13,NA,0.33,0.0,0.21
conspiracy,365,48,338,6,1.0,1.0,1,1,0.02,0.01,0.0,NA,0.0,0.0,0.0
election,334,93,290,8,0.92,0.96,3,3,0.02,0.02,0.0,NA,0.0,0.0,0.0
football,935,513,805,29,0.97,0.98,6,6,0.03,0.03,0.17,NA,0.21,0.0,0.14
gaza,801,553,661,52,0.61,0.88,5,5,0.06,0.03,0.36,NA,0.41,0.0,0.46
gym,742,115,685,21,0.42,0.79,4,4,0.03,0.02,0.59,NA,0.69,0.0,0.74
israel,594,221,499,70,0.2,0.62,10,10,0.12,0.04,0.29,NA,0.27,0.01,0.56
jazz,32,0,32,1,NA,NA,0,0,0.03,NA,NA,NA,NA,NA,NA
kpop,906,28594,519,308,0.94,1.0,7,7,0.34,0.22,0.25,NA,0.28,0.02,0.14
learnontiktok,464,141,435,26,0.29,0.6,4,4,0.06,0.03,0.39,NA,0.5,0.0,0.35
lgbt,1685,1742,1387,202,0.53,0.86,7,7,0.12,0.03,0.22,NA,0.37,0.01,0.36
maga,644,531,527,115,0.02,0.42,5,5,0.18,0.07,0.34,NA,0.41,0.01,0.22
makeup,915,3682,707,67,0.98,1.0,3,3,0.07,0.06,0.0,NA,0.0,0.0,0.0
minecraft,151,86,132,13,1.0,1.0,1,1,0.09,0.07,0.0,NA,0.0,0.0,0.0
movie,583,808,478,35,0.96,0.99,4,4,0.06,0.05,0.29,NA,0.45,0.0,0.35
news,784,219,707,13,0.98,0.96,2,2,0.02,0.01,0.17,NA,0.23,0.0,0.17
palestine,1236,1111,1012,99,0.85,0.93,7,7,0.08,0.04,0.31,NA,0.43,0.0,0.53
plantsoftiktok,96,4,93,4,-0.71,0.6,2,2,0.04,0.03,0.67,NA,0.75,0.0,0.67
science,411,40,386,5,0.98,0.98,2,2,0.01,0.01,0.0,NA,0.0,0.0,0.0
storytime,2036,13744,1618,162,1.0,1.0,3,3,0.08,0.07,0.08,NA,0.1,0.0,0.05
tiktoknews,120,2,118,2,NA,NA,1,1,0.02,NA,NA,NA,NA,NA,NA
trump2024,768,995,610,124,0.33,0.79,7,7,0.16,0.07,0.34,NA,0.42,0.01,0.36
watermelon,290,74,256,10,0.81,0.93,2,2,0.03,0.03,0.56,NA,0.7,0.0,0.56
