hashtag-video,Vertices,Edges,Components,Largest component size,Degree Assortativity,Clustering Coefficient,Diameter,Undirected Diameter,% of vertices in the largest component,Global degree centralization,Largest component degree centralization,Global closeness centralization,Largest component closeness centralization,Global betweenness centralization,Largest component betweenness centralization
anime,2351,1363,988,113,NA,0.0,1.0,2.0,0.05,0.05,1.0,0.18,1.0,0.0,1.0
asmr,214,107,107,2,NA,NA,1.0,1.0,0.01,NA,NA,NA,NA,NA,NA
biden2024,281,145,136,4,NA,0.0,1.0,2.0,0.01,0.01,1.0,0.04,1.0,0.0,1.0
blacklivesmatter,527,275,252,7,NA,0.0,1.0,2.0,0.01,0.01,1.0,0.05,1.0,0.0,1.0
booktok,4810,2792,2018,74,NA,0.0,1.0,2.0,0.02,0.01,1.0,0.18,1.0,0.0,1.0
challenge,668,345,323,5,NA,0.0,1.0,2.0,0.01,0.0,1.0,0.04,1.0,0.0,1.0
climatechange,92,46,46,2,NA,NA,1.0,1.0,0.02,NA,NA,NA,NA,NA,NA
comedy,6702,3738,2965,23,-0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.13,1.0,0.0,1.0
conspiracy,435,227,208,6,NA,0.0,1.0,2.0,0.01,0.01,1.0,0.05,1.0,0.0,1.0
election,401,210,191,6,NA,0.0,1.0,2.0,0.01,0.01,1.0,0.06,1.0,0.0,1.0
football,1293,680,613,27,NA,0.0,1.0,2.0,0.02,0.02,1.0,0.06,1.0,0.0,1.0
gaza,1034,555,479,12,NA,0.0,1.0,2.0,0.01,0.01,1.0,0.09,1.0,0.0,1.0
gym,929,480,449,10,NA,0.0,1.0,2.0,0.01,0.01,1.0,0.04,1.0,0.0,1.0
israel,816,433,383,5,NA,0.0,1.0,2.0,0.01,0.0,1.0,0.08,1.0,0.0,1.0
jazz,32,16,16,2,NA,NA,1.0,1.0,0.06,NA,NA,NA,NA,NA,NA
kpop,1100,737,363,237,NA,0.0,1.0,2.0,0.22,0.21,1.0,0.35,1.0,0.05,1.0
learnontiktok,792,413,379,5,NA,0.0,1.0,2.0,0.01,0.0,1.0,0.05,1.0,0.0,1.0
lgbt,2111,1183,928,30,NA,0.0,1.0,2.0,0.01,0.01,1.0,0.14,1.0,0.0,1.0
maga,1311,689,622,10,NA,0.0,1.0,2.0,0.01,0.01,1.0,0.06,1.0,0.0,1.0
makeup,1069,626,443,68,NA,0.0,1.0,2.0,0.06,0.06,1.0,0.18,1.0,0.0,1.0
minecraft,169,94,75,14,NA,0.0,1.0,2.0,0.08,0.07,1.0,0.13,1.0,0.01,1.0
movie,782,433,349,23,NA,0.0,1.0,2.0,0.03,0.03,1.0,0.12,1.0,0.0,1.0
news,1197,653,544,11,NA,0.0,1.0,2.0,0.01,0.01,1.0,0.11,1.0,0.0,1.0
palestine,1550,841,709,20,NA,0.0,1.0,2.0,0.01,0.01,1.0,0.1,1.0,0.0,1.0
plantsoftiktok,140,71,69,3,NA,0.0,1.0,2.0,0.02,0.01,1.0,0.02,1.0,0.0,1.0
science,451,235,216,6,NA,0.0,1.0,2.0,0.01,0.01,1.0,0.05,1.0,0.0,1.0
storytime,2330,1385,945,141,NA,0.0,1.0,2.0,0.06,0.06,1.0,0.2,1.0,0.0,1.0
tiktoknews,150,76,74,3,NA,0.0,1.0,2.0,0.02,0.01,1.0,0.02,1.0,0.0,1.0
trump2024,1120,600,520,19,NA,0.0,1.0,2.0,0.02,0.02,1.0,0.09,1.0,0.0,1.0
watermelon,339,180,159,9,NA,0.0,1.0,2.0,0.03,0.02,1.0,0.08,1.0,0.0,1.0
